Year,LocationAbbr,LocationDesc,Intervention Area,Funding Type1,Funding Type2,Amount,Data_Value_Unit,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,DisplayOrder
2014,NY,New York,State and Community Interventions,Per Capita,Minimum,2.52,$,"NY
(42.827001032, -75.543970427)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,OR,Oregon,State and Community Interventions,Total (Millions),Minimum,10.3,$,"OR
(44.567449424, -120.155031326)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,PA,Pennsylvania,State and Community Interventions,Total (Millions),Minimum,32.7,$,"PA
(40.793730152, -77.860700294)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,CA,California,Mass-Reach Health Communication Interventions,Total (Millions),Recommended,76,$,"CA
(37.638640123, -120.999999538)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,TN,Tennessee,State and Community Interventions,Per Capita,Minimum,2.9,$,"TN
(35.68094058, -85.774490914)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,OH,Ohio,Total Program Costs,Per Capita,Minimum,7.97,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,IL,Illinois,Surveillance and Evaluation,Per Capita,Recommended,0.92,$,"IL
(40.485010283, -88.997710178)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,WI,Wisconsin,Cessation Interventions,Per Capita,Minimum,2.74,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,TX,Texas,"Infrastructure, Administration, and Management",Total (Millions),Minimum,8.1,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,TX,Texas,"Infrastructure, Administration, and Management",Per Capita,Recommended,0.44,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,NE,Nebraska,Surveillance and Evaluation,Total (Millions),Recommended,1.8,$,"NE
(41.641040988001, -99.365720623)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,ND,North Dakota,"Infrastructure, Administration, and Management",Per Capita,Recommended,0.61,$,"ND
(47.475319779, -100.118421049)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,HI,Hawaii,Mass-Reach Health Communication Interventions,Total (Millions),Recommended,1.6,$,"HI
(21.304850435, -157.857749403)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,AZ,Arizona,Surveillance and Evaluation,Total (Millions),Recommended,5.6,$,"AZ
(34.86597028, -111.763811277)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,MO,Missouri,Total Program Costs,Total (Millions),Minimum,50.7,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,WA,Washington,Cessation Interventions,Per Capita,Minimum,2.32,$,"WA
(47.522278629, -120.47001079)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,TX,Texas,Mass-Reach Health Communication Interventions,Total (Millions),Recommended,47.9,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,MI,Michigan,Mass-Reach Health Communication Interventions,Total (Millions),Minimum,7.9,$,"MI
(44.661319543001, -84.71439027)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,LA,Louisiana,"Infrastructure, Administration, and Management",Total (Millions),Minimum,1.8,$,"LA
(31.312660644, -92.445680071)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,GA,Georgia,Cessation Interventions,Per Capita,Minimum,2.65,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,WI,Wisconsin,Surveillance and Evaluation,Per Capita,Minimum,0.61,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,MT,Montana,Surveillance and Evaluation,Total (Millions),Recommended,1.3,$,"MT
(47.066528972, -109.424420645)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,CO,Colorado,Mass-Reach Health Communication Interventions,Per Capita,Recommended,1.91,$,"CO
(38.843840757, -106.133610921)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,MO,Missouri,"Infrastructure, Administration, and Management",Total (Millions),Minimum,2.2,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,NH,New Hampshire,Total Program Costs,Total (Millions),Minimum,11.7,$,"NH
(43.655950113, -71.50036092)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,NM,New Mexico,Total Program Costs,Total (Millions),Recommended,22.8,$,"NM
(34.520880952, -106.240580985)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,OH,Ohio,Cessation Interventions,Total (Millions),Minimum,35.7,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,VA,Virginia,Cessation Interventions,Per Capita,Minimum,2.57,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,MN,Minnesota,Total Program Costs,Per Capita,Recommended,9.82,$,"MN
(46.355648736, -94.794200503)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,CO,Colorado,"Infrastructure, Administration, and Management",Per Capita,Minimum,0.31,$,"CO
(38.843840757, -106.133610921)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,RI,Rhode Island,"Infrastructure, Administration, and Management",Per Capita,Recommended,0.53,$,"RI
(41.708280193, -71.522470314)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,WI,Wisconsin,Cessation Interventions,Total (Millions),Recommended,25.2,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,VA,Virginia,Total Program Costs,Per Capita,Recommended,11.18,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,GA,Georgia,Total Program Costs,Per Capita,Recommended,10.68,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,ND,North Dakota,Total Program Costs,Per Capita,Minimum,10.04,$,"ND
(47.475319779, -100.118421049)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,FL,Florida,"Infrastructure, Administration, and Management",Total (Millions),Recommended,8.4,$,"FL
(28.932040377, -81.928960539)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,OK,Oklahoma,Cessation Interventions,Total (Millions),Recommended,18.8,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,TX,Texas,Total Program Costs,Per Capita,Recommended,10.13,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,MS,Mississippi,State and Community Interventions,Total (Millions),Minimum,10,$,"MS
(32.745510099, -89.538030825)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,WI,Wisconsin,Mass-Reach Health Communication Interventions,Per Capita,Minimum,0.77,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,MD,Maryland,"Infrastructure, Administration, and Management",Total (Millions),Recommended,2.1,$,"MD
(39.290580964, -76.609260111)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,MT,Montana,State and Community Interventions,Per Capita,Minimum,3.98,$,"MT
(47.066528972, -109.424420645)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,RI,Rhode Island,Mass-Reach Health Communication Interventions,Total (Millions),Recommended,2.1,$,"RI
(41.708280193, -71.522470314)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,WI,Wisconsin,Cessation Interventions,Per Capita,Recommended,4.4,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,ME,Maine,Surveillance and Evaluation,Per Capita,Minimum,0.73,$,"ME
(45.254228894001, -68.985031336)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,OH,Ohio,Cessation Interventions,Total (Millions),Recommended,57.5,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,NY,New York,Cessation Interventions,Per Capita,Recommended,3.54,$,"NY
(42.827001032, -75.543970427)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,MS,Mississippi,"Infrastructure, Administration, and Management",Per Capita,Recommended,0.53,$,"MS
(32.745510099, -89.538030825)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,MO,Missouri,"Infrastructure, Administration, and Management",Per Capita,Minimum,0.37,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,SC,South Carolina,State and Community Interventions,Per Capita,Minimum,2.84,$,"SC
(33.998821303, -81.045371207)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,VA,Virginia,Cessation Interventions,Total (Millions),Recommended,33.6,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,VT,Vermont,Mass-Reach Health Communication Interventions,Per Capita,Recommended,2.56,$,"VT
(43.625381239, -72.517640791)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,OK,Oklahoma,Total Program Costs,Total (Millions),Recommended,42.3,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,VT,Vermont,State and Community Interventions,Total (Millions),Minimum,2.5,$,"VT
(43.625381239, -72.517640791)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,KY,Kentucky,Surveillance and Evaluation,Per Capita,Minimum,0.78,$,"KY
(37.645970271, -84.774971048)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,PA,Pennsylvania,Total Program Costs,Total (Millions),Recommended,140,$,"PA
(40.793730152, -77.860700294)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,US,United States,Surveillance and Evaluation,Total (Millions),Recommended,287.7,$,,Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,MD,Maryland,Mass-Reach Health Communication Interventions,Total (Millions),Minimum,3.5,$,"MD
(39.290580964, -76.609260111)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,MO,Missouri,Mass-Reach Health Communication Interventions,Per Capita,Recommended,1.79,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,AK,Alaska,Cessation Interventions,Total (Millions),Minimum,2.2,$,"AK
(64.845079957001, -147.722059036)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,VA,Virginia,Surveillance and Evaluation,Total (Millions),Recommended,8,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,NM,New Mexico,Mass-Reach Health Communication Interventions,Per Capita,Recommended,0.86,$,"NM
(34.520880952, -106.240580985)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,TX,Texas,Surveillance and Evaluation,Per Capita,Recommended,0.88,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,CT,Connecticut,Mass-Reach Health Communication Interventions,Total (Millions),Recommended,3.7,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,MD,Maryland,State and Community Interventions,Per Capita,Recommended,2.72,$,"MD
(39.290580964, -76.609260111)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA004,04
2014,GA,Georgia,"Infrastructure, Administration, and Management",Total (Millions),Minimum,3.2,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,NH,New Hampshire,Surveillance and Evaluation,Per Capita,Minimum,0.77,$,"NH
(43.655950113, -71.50036092)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,OR,Oregon,Total Program Costs,Total (Millions),Minimum,27.7,$,"OR
(44.567449424, -120.155031326)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,GA,Georgia,Surveillance and Evaluation,Total (Millions),Recommended,9.2,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,IL,Illinois,Mass-Reach Health Communication Interventions,Total (Millions),Recommended,22.8,$,"IL
(40.485010283, -88.997710178)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,GA,Georgia,Total Program Costs,Total (Millions),Minimum,74.4,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,WV,West Virginia,Surveillance and Evaluation,Per Capita,Minimum,0.9,$,"WV
(38.665510202, -80.712640135)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,KY,Kentucky,Cessation Interventions,Per Capita,Minimum,3.77,$,"KY
(37.645970271, -84.774971048)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,WY,Wyoming,Mass-Reach Health Communication Interventions,Total (Millions),Minimum,0.6,$,"WY
(43.235541343, -108.109830353)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,AZ,Arizona,Mass-Reach Health Communication Interventions,Total (Millions),Recommended,11.4,$,"AZ
(34.86597028, -111.763811277)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,SD,South Dakota,Surveillance and Evaluation,Total (Millions),Recommended,1,$,"SD
(44.353130053, -100.373530637)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,RI,Rhode Island,Total Program Costs,Total (Millions),Minimum,9.3,$,"RI
(41.708280193, -71.522470314)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,VT,Vermont,Mass-Reach Health Communication Interventions,Total (Millions),Minimum,1.1,$,"VT
(43.625381239, -72.517640791)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,VT,Vermont,Cessation Interventions,Per Capita,Minimum,2.72,$,"VT
(43.625381239, -72.517640791)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,DC,District of Columbia,Total Program Costs,Total (Millions),Minimum,7.8,$,"DC
(38.890371385, -77.031961127)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,UT,Utah,Cessation Interventions,Per Capita,Recommended,2.14,$,"UT
(39.360700171, -111.587130635)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
2014,IN,Indiana,Total Program Costs,Per Capita,Recommended,11.24,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA006,06
2014,NH,New Hampshire,"Infrastructure, Administration, and Management",Per Capita,Recommended,0.55,$,"NH
(43.655950113, -71.50036092)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,OH,Ohio,"Infrastructure, Administration, and Management",Per Capita,Recommended,0.5,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,SC,South Carolina,Mass-Reach Health Communication Interventions,Total (Millions),Minimum,3.2,$,"SC
(33.998821303, -81.045371207)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,MN,Minnesota,Mass-Reach Health Communication Interventions,Per Capita,Recommended,1.39,$,"MN
(46.355648736, -94.794200503)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA003,03
2014,OR,Oregon,Surveillance and Evaluation,Per Capita,Recommended,0.88,$,"OR
(44.567449424, -120.155031326)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA005,05
2014,KY,Kentucky,"Infrastructure, Administration, and Management",Per Capita,Recommended,0.56,$,"KY
(37.645970271, -84.774971048)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA002,02
2014,NJ,New Jersey,Cessation Interventions,Per Capita,Recommended,3.73,$,"NJ
(40.130570048, -74.273691288)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2014.,FND,400FND,402CDT2,INTA001,01
