"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","6.7","4.2","9.1","564","Female","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","41.2","37.9","44.4","1141","Overall","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","43.0","38.6","47.5","577","Male","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","39.0","34.3","43.8","564","Female","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","44.4","42.0","46.8","1605","Overall","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","39.1","36.0","42.2","830","Male","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","51.2","47.6","54.8","775","Female","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","12.9","11.3","14.5","1605","Overall","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","15.9","13.6","18.3","830","Male","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","9.0","6.9","11.0","775","Female","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","42.7","40.3","45.0","1605","Overall","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","44.9","41.8","48.1","830","Male","All Ages","All Races","All Grades"
"1998-1999   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","39.8","36.2","43.3","775","Female","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","39.8","37.5","42.2","1827","Overall","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","35.3","32.2","38.4","962","Male","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","45.0","41.5","48.5","865","Female","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","15.9","14.1","17.6","1827","Overall","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","18.7","16.2","21.3","962","Male","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","12.6","10.3","15.0","865","Female","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","44.3","41.9","46.7","1827","Overall","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","46.0","42.7","49.2","962","Male","All Ages","All Races","All Grades"
"1995-1996   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","42.3","38.9","45.8","865","Female","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","36.8","34.8","38.8","2384","Overall","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","32.0","29.4","34.7","1260","Male","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","42.2","39.2","45.3","1124","Female","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","18.0","16.4","19.6","2384","Overall","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","22.5","20.2","24.9","1260","Male","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","12.8","10.8","14.9","1124","Female","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","45.2","43.1","47.3","2384","Overall","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","45.4","42.6","48.2","1260","Male","All Ages","All Races","All Grades"
"1992-1993   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","44.9","41.9","48.0","1124","Female","All Ages","All Races","All Grades"
