"Year","Location Description","Data Source","Topic Description","Measure Description","Source","Footnote Symbol","Data Value Unit","Data Value","Funding Cycle"
"2012","Louisiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.97",""
"2011","Louisiana","UIC","Funding","Expenditures","Total Per Capita","","$","2.45",""
"2016","Maine","UIC","Funding","Expenditures","Total Per Capita","","$","7.81",""
"2015","Maine","UIC","Funding","Expenditures","Total Per Capita","","$","5.98",""
"2014","Maine","UIC","Funding","Expenditures","Total Per Capita","","$","6.72",""
"2013","Maine","UIC","Funding","Expenditures","Total Per Capita","","$","6.59",""
"2012","Maine","UIC","Funding","Expenditures","Total Per Capita","","$","7.72",""
"2011","Maine","UIC","Funding","Expenditures","Total Per Capita","","$","5.73",""
"2016","Maryland","UIC","Funding","Expenditures","Total Per Capita","","$","2.42",""
"2015","Maryland","UIC","Funding","Expenditures","Total Per Capita","","$","1.97",""
"2014","Maryland","UIC","Funding","Expenditures","Total Per Capita","","$","1.72",""
"2013","Maryland","UIC","Funding","Expenditures","Total Per Capita","","$","0.98",""
"2012","Maryland","UIC","Funding","Expenditures","Total Per Capita","","$","1.04",""
"2011","Maryland","UIC","Funding","Expenditures","Total Per Capita","","$","1.04",""
"2016","Massachusetts","UIC","Funding","Expenditures","Total Per Capita","","$","1.13",""
"2015","Massachusetts","UIC","Funding","Expenditures","Total Per Capita","","$","1.21",""
"2014","Massachusetts","UIC","Funding","Expenditures","Total Per Capita","","$","1.18",""
"2013","Massachusetts","UIC","Funding","Expenditures","Total Per Capita","","$","0.73",""
"2012","Massachusetts","UIC","Funding","Expenditures","Total Per Capita","","$","1.15",""
"2011","Massachusetts","UIC","Funding","Expenditures","Total Per Capita","","$","0.99",""
"2016","Michigan","UIC","Funding","Expenditures","Total Per Capita","","$","0.52",""
"2015","Michigan","UIC","Funding","Expenditures","Total Per Capita","","$","0.33",""
"2014","Michigan","UIC","Funding","Expenditures","Total Per Capita","","$","0.39",""
"2013","Michigan","UIC","Funding","Expenditures","Total Per Capita","","$","0.42",""
"2012","Michigan","UIC","Funding","Expenditures","Total Per Capita","","$","0.46",""
"2011","Michigan","UIC","Funding","Expenditures","Total Per Capita","","$","0.60",""
"2016","Minnesota","UIC","Funding","Expenditures","Total Per Capita","","$","4.57",""
"2015","Minnesota","UIC","Funding","Expenditures","Total Per Capita","","$","4.02",""
"2014","Minnesota","UIC","Funding","Expenditures","Total Per Capita","","$","4.35",""
"2013","Minnesota","UIC","Funding","Expenditures","Total Per Capita","","$","4.08",""
"2012","Minnesota","UIC","Funding","Expenditures","Total Per Capita","","$","3.35",""
"2011","Minnesota","UIC","Funding","Expenditures","Total Per Capita","","$","3.70",""
"2016","Mississippi","UIC","Funding","Expenditures","Total Per Capita","","$","3.05",""
"2015","Mississippi","UIC","Funding","Expenditures","Total Per Capita","","$","3.48",""
"2014","Mississippi","UIC","Funding","Expenditures","Total Per Capita","","$","4.38",""
"2013","Mississippi","UIC","Funding","Expenditures","Total Per Capita","","$","3.59",""
"2012","Mississippi","UIC","Funding","Expenditures","Total Per Capita","","$","3.69",""
"2011","Mississippi","UIC","Funding","Expenditures","Total Per Capita","","$","3.94",""
"2016","Missouri","UIC","Funding","Expenditures","Total Per Capita","","$","0.49",""
"2015","Missouri","UIC","Funding","Expenditures","Total Per Capita","","$","0.48",""
"2014","Missouri","UIC","Funding","Expenditures","Total Per Capita","","$","0.39",""
"2013","Missouri","UIC","Funding","Expenditures","Total Per Capita","","$","0.50",""
"2012","Missouri","UIC","Funding","Expenditures","Total Per Capita","","$","1.28",""
"2011","Missouri","UIC","Funding","Expenditures","Total Per Capita","","$","1.67",""
"2016","Montana","UIC","Funding","Expenditures","Total Per Capita","","$","6.69",""
"2015","Montana","UIC","Funding","Expenditures","Total Per Capita","","$","5.97",""
"2014","Montana","UIC","Funding","Expenditures","Total Per Capita","","$","6.15",""
"2013","Montana","UIC","Funding","Expenditures","Total Per Capita","","$","5.44",""
"2012","Montana","UIC","Funding","Expenditures","Total Per Capita","","$","5.51",""
"2011","Montana","UIC","Funding","Expenditures","Total Per Capita","","$","8.32",""
"2016","Nebraska","UIC","Funding","Expenditures","Total Per Capita","","$","1.97",""
"2015","Nebraska","UIC","Funding","Expenditures","Total Per Capita","","$","2.11",""
"2014","Nebraska","UIC","Funding","Expenditures","Total Per Capita","","$","1.98",""
"2013","Nebraska","UIC","Funding","Expenditures","Total Per Capita","","$","1.86",""
"2012","Nebraska","UIC","Funding","Expenditures","Total Per Capita","","$","1.82",""
"2011","Nebraska","UIC","Funding","Expenditures","Total Per Capita","","$","2.25",""
"2016","Nevada","UIC","Funding","Expenditures","Total Per Capita","","$","0.67",""
"2015","Nevada","UIC","Funding","Expenditures","Total Per Capita","","$","0.85",""
"2014","Nevada","UIC","Funding","Expenditures","Total Per Capita","","$","0.66",""
"2013","Nevada","UIC","Funding","Expenditures","Total Per Capita","","$","1.49",""
"2012","Nevada","UIC","Funding","Expenditures","Total Per Capita","","$","2.21",""
"2011","Nevada","UIC","Funding","Expenditures","Total Per Capita","","$","2.16",""
"2016","New Hampshire","UIC","Funding","Expenditures","Total Per Capita","","$","0.97",""
"2015","New Hampshire","UIC","Funding","Expenditures","Total Per Capita","","$","0.90",""
"2014","New Hampshire","UIC","Funding","Expenditures","Total Per Capita","","$","0.91",""
"2013","New Hampshire","UIC","Funding","Expenditures","Total Per Capita","","$","0.85",""
"2012","New Hampshire","UIC","Funding","Expenditures","Total Per Capita","","$","0.94",""
"2011","New Hampshire","UIC","Funding","Expenditures","Total Per Capita","","$","1.28",""
"2016","New Jersey","UIC","Funding","Expenditures","Total Per Capita","","$","0.16",""
"2015","New Jersey","UIC","Funding","Expenditures","Total Per Capita","","$","0.28",""
"2014","New Jersey","UIC","Funding","Expenditures","Total Per Capita","","$","0.35",""
"2013","New Jersey","UIC","Funding","Expenditures","Total Per Capita","","$","0.40",""
"2012","New Jersey","UIC","Funding","Expenditures","Total Per Capita","","$","0.28",""
"2011","New Jersey","UIC","Funding","Expenditures","Total Per Capita","","$","0.41",""
"2016","New Mexico","UIC","Funding","Expenditures","Total Per Capita","","$","3.21",""
"2015","New Mexico","UIC","Funding","Expenditures","Total Per Capita","","$","3.59",""
"2014","New Mexico","UIC","Funding","Expenditures","Total Per Capita","","$","3.65",""
"2013","New Mexico","UIC","Funding","Expenditures","Total Per Capita","","$","3.66",""
"2012","New Mexico","UIC","Funding","Expenditures","Total Per Capita","","$","3.66",""
"2011","New Mexico","UIC","Funding","Expenditures","Total Per Capita","","$","3.79",""
"2016","New York","UIC","Funding","Expenditures","Total Per Capita","","$","2.41",""
"2015","New York","UIC","Funding","Expenditures","Total Per Capita","","$","2.40",""
"2014","New York","UIC","Funding","Expenditures","Total Per Capita","","$","2.29",""
"2013","New York","UIC","Funding","Expenditures","Total Per Capita","","$","2.59",""
"2012","New York","UIC","Funding","Expenditures","Total Per Capita","","$","2.97",""
"2011","New York","UIC","Funding","Expenditures","Total Per Capita","","$","2.97",""
"2016","North Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","0.43",""
"2015","North Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","0.45",""
"2014","North Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","0.40",""
"2013","North Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","0.57",""
"2012","North Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","1.99",""
"2011","North Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","2.13",""
"2016","North Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","13.21",""
"2015","North Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","14.60",""
"2014","North Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","15.49",""
"2013","North Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","12.18",""
"2012","North Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","12.12",""
"2011","North Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","11.38",""
"2016","Ohio","UIC","Funding","Expenditures","Total Per Capita","","$","0.34",""
"2015","Ohio","UIC","Funding","Expenditures","Total Per Capita","","$","0.34",""
"2014","Ohio","UIC","Funding","Expenditures","Total Per Capita","","$","0.31",""
"2013","Ohio","UIC","Funding","Expenditures","Total Per Capita","","$","0.28",""
"2012","Ohio","UIC","Funding","Expenditures","Total Per Capita","","$","0.24",""
"2011","Ohio","UIC","Funding","Expenditures","Total Per Capita","","$","0.35",""
"2016","Oklahoma","UIC","Funding","Expenditures","Total Per Capita","","$","6.02",""
"2015","Oklahoma","UIC","Funding","Expenditures","Total Per Capita","","$","5.74",""
"2014","Oklahoma","UIC","Funding","Expenditures","Total Per Capita","","$","5.93",""
"2013","Oklahoma","UIC","Funding","Expenditures","Total Per Capita","","$","5.79",""
"2012","Oklahoma","UIC","Funding","Expenditures","Total Per Capita","","$","6.70",""
"2011","Oklahoma","UIC","Funding","Expenditures","Total Per Capita","","$","6.57",""
"2016","Oregon","UIC","Funding","Expenditures","Total Per Capita","","$","2.50",""
"2015","Oregon","UIC","Funding","Expenditures","Total Per Capita","","$","2.55",""
"2014","Oregon","UIC","Funding","Expenditures","Total Per Capita","","$","2.50",""
"2013","Oregon","UIC","Funding","Expenditures","Total Per Capita","","$","2.53",""
"2012","Oregon","UIC","Funding","Expenditures","Total Per Capita","","$","2.12",""
"2011","Oregon","UIC","Funding","Expenditures","Total Per Capita","","$","2.43",""
"2016","Pennsylvania","UIC","Funding","Expenditures","Total Per Capita","","$","1.41",""
"2015","Pennsylvania","UIC","Funding","Expenditures","Total Per Capita","","$","1.35",""
"2014","Pennsylvania","UIC","Funding","Expenditures","Total Per Capita","","$","0.94",""
"2013","Pennsylvania","UIC","Funding","Expenditures","Total Per Capita","","$","1.47",""
"2012","Pennsylvania","UIC","Funding","Expenditures","Total Per Capita","","$","1.79",""
"2011","Pennsylvania","UIC","Funding","Expenditures","Total Per Capita","","$","1.74",""
"2016","Rhode Island","UIC","Funding","Expenditures","Total Per Capita","","$","2.40",""
"2015","Rhode Island","UIC","Funding","Expenditures","Total Per Capita","","$","0.38",""
"2014","Rhode Island","UIC","Funding","Expenditures","Total Per Capita","","$","2.19",""
"2013","Rhode Island","UIC","Funding","Expenditures","Total Per Capita","","$","2.42",""
"2012","Rhode Island","UIC","Funding","Expenditures","Total Per Capita","","$","3.38",""
"2011","Rhode Island","UIC","Funding","Expenditures","Total Per Capita","","$","3.65",""
"2016","South Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","2.00",""
"2015","South Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","1.90",""
"2014","South Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","1.05",""
"2013","South Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","0.95",""
"2012","South Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","2.61",""
"2011","South Carolina","UIC","Funding","Expenditures","Total Per Capita","","$","0.87",""
"2016","South Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","6.08",""
"2015","South Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","5.62",""
"2014","South Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","6.40",""
"2013","South Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","5.86",""
"2012","South Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","6.26",""
"2011","South Dakota","UIC","Funding","Expenditures","Total Per Capita","","$","5.97",""
"2016","Tennessee","UIC","Funding","Expenditures","Total Per Capita","","$","1.08",""
"2015","Tennessee","UIC","Funding","Expenditures","Total Per Capita","","$","1.08",""
"2014","Tennessee","UIC","Funding","Expenditures","Total Per Capita","","$","1.09",""
"2013","Tennessee","UIC","Funding","Expenditures","Total Per Capita","","$","0.32",""
"2012","Tennessee","UIC","Funding","Expenditures","Total Per Capita","","$","0.30",""
"2011","Tennessee","UIC","Funding","Expenditures","Total Per Capita","","$","0.33",""
"2016","Texas","UIC","Funding","Expenditures","Total Per Capita","","$","0.42",""
"2015","Texas","UIC","Funding","Expenditures","Total Per Capita","","$","0.53",""
"2014","Texas","UIC","Funding","Expenditures","Total Per Capita","","$","0.47",""
"2013","Texas","UIC","Funding","Expenditures","Total Per Capita","","$","0.37",""
"2012","Texas","UIC","Funding","Expenditures","Total Per Capita","","$","0.41",""
"2011","Texas","UIC","Funding","Expenditures","Total Per Capita","","$","0.74",""
"2016","Utah","UIC","Funding","Expenditures","Total Per Capita","","$","2.94",""
"2015","Utah","UIC","Funding","Expenditures","Total Per Capita","","$","2.98",""
"2014","Utah","UIC","Funding","Expenditures","Total Per Capita","","$","3.41",""
"2013","Utah","UIC","Funding","Expenditures","Total Per Capita","","$","3.47",""
"2012","Utah","UIC","Funding","Expenditures","Total Per Capita","","$","3.04",""
"2011","Utah","UIC","Funding","Expenditures","Total Per Capita","","$","3.02",""
"2016","Vermont","UIC","Funding","Expenditures","Total Per Capita","","$","5.31",""
"2015","Vermont","UIC","Funding","Expenditures","Total Per Capita","","$","6.47",""
"2014","Vermont","UIC","Funding","Expenditures","Total Per Capita","","$","6.21",""
"2013","Vermont","UIC","Funding","Expenditures","Total Per Capita","","$","5.69",""
"2012","Vermont","UIC","Funding","Expenditures","Total Per Capita","","$","5.42",""
"2011","Vermont","UIC","Funding","Expenditures","Total Per Capita","","$","7.21",""
"2016","Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","1.08",""
"2015","Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","1.36",""
"2014","Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","1.25",""
"2013","Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","1.33",""
"2012","Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","1.36",""
"2011","Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","1.50",""
"2016","Washington","UIC","Funding","Expenditures","Total Per Capita","","$","0.45",""
"2015","Washington","UIC","Funding","Expenditures","Total Per Capita","","$","0.18",""
"2014","Washington","UIC","Funding","Expenditures","Total Per Capita","","$","0.42",""
"2013","Washington","UIC","Funding","Expenditures","Total Per Capita","","$","0.49",""
"2012","Washington","UIC","Funding","Expenditures","Total Per Capita","","$","1.02",""
"2011","Washington","UIC","Funding","Expenditures","Total Per Capita","","$","2.59",""
"2016","West Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","2.82",""
"2015","West Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","3.09",""
"2014","West Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","2.88",""
"2013","West Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","4.15",""
"2012","West Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","4.23",""
"2011","West Virginia","UIC","Funding","Expenditures","Total Per Capita","","$","3.88",""
"2016","Wisconsin","UIC","Funding","Expenditures","Total Per Capita","","$","0.92",""
"2015","Wisconsin","UIC","Funding","Expenditures","Total Per Capita","","$","0.92",""
"2014","Wisconsin","UIC","Funding","Expenditures","Total Per Capita","","$","1.13",""
"2013","Wisconsin","UIC","Funding","Expenditures","Total Per Capita","","$","1.21",""
"2012","Wisconsin","UIC","Funding","Expenditures","Total Per Capita","","$","0.93",""
"2011","Wisconsin","UIC","Funding","Expenditures","Total Per Capita","","$","1.35",""
"2016","Wyoming","UIC","Funding","Expenditures","Total Per Capita","","$","8.44",""
"2015","Wyoming","UIC","Funding","Expenditures","Total Per Capita","","$","8.39",""
"2014","Wyoming","UIC","Funding","Expenditures","Total Per Capita","","$","10.78",""
"2013","Wyoming","UIC","Funding","Expenditures","Total Per Capita","","$","9.37",""
"2012","Wyoming","UIC","Funding","Expenditures","Total Per Capita","","$","8.86",""
"2011","Wyoming","UIC","Funding","Expenditures","Total Per Capita","","$","10.69",""
