LocationAbbr,LocationDesc,Year,Intervention Area,Funding Type1,Funding Type2,Amount,Data_Value_Unit,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,DisplayOrder
ND,North Dakota,2007,State and Community Interventions,Per Capita,Recommended,7.37,$,"ND
(47.475319779, -100.118421049)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
WA,Washington,2007,Health Communication Interventions,Per Capita,Lower,1.3,$,"WA
(47.522278629, -120.47001079)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
US,United States,2007,State and Community Interventions,Total (Millions),Upper,2022.4,$,,Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
IA,Iowa,2007,State and Community Interventions,Per Capita,Upper,7.21,$,"IA
(42.469400913, -93.816490556)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
DC,District of Columbia,2007,Health Communication Interventions,Total (Millions),Recommended,2.3,$,"DC
(38.890371385, -77.031961127)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
CA,California,2007,Health Communication Interventions,Per Capita,Recommended,3.02,$,"CA
(37.638640123, -120.999999538)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
KS,Kansas,2007,Cessation Interventions,Total (Millions),Upper,14.2,$,"KS
(38.3477403, -98.200781227)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
DE,Delaware,2007,Cessation Interventions,Per Capita,Upper,5.63,$,"DE
(39.008830667, -75.577741168)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
US,United States,2007,Total Recommended Program Costs,Per Capita,Lower,8.43,$,,Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
NJ,New Jersey,2007,Health Communication Interventions,Total (Millions),Recommended,34,$,"NJ
(40.130570048, -74.273691288)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
LA,Louisiana,2007,Cessation Interventions,Per Capita,Recommended,3.94,$,"LA
(31.312660644, -92.445680071)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
CT,Connecticut,2007,Cessation Interventions,Per Capita,Upper,4.64,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
NJ,New Jersey,2007,Health Communication Interventions,Per Capita,Lower,1.3,$,"NJ
(40.130570048, -74.273691288)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
TN,Tennessee,2007,State and Community Interventions,Per Capita,Lower,3.92,$,"TN
(35.68094058, -85.774490914)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
WV,West Virginia,2007,Health Communication Interventions,Total (Millions),Recommended,5.7,$,"WV
(38.665510202, -80.712640135)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
WA,Washington,2007,Surveillance and Evaluation,Per Capita,Lower,0.71,$,"WA
(47.522278629, -120.47001079)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
NE,Nebraska,2007,Surveillance and Evaluation,Total (Millions),Recommended,1.9,$,"NE
(41.641040988001, -99.365720623)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
GA,Georgia,2007,Cessation Interventions,Total (Millions),Lower,18.8,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
CA,California,2007,State and Community Interventions,Per Capita,Recommended,4.68,$,"CA
(37.638640123, -120.999999538)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
IN,Indiana,2007,Surveillance and Evaluation,Per Capita,Upper,1.67,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
VA,Virginia,2007,State and Community Interventions,Per Capita,Upper,6.58,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
NV,Nevada,2007,Cessation Interventions,Total (Millions),Lower,5.4,$,"NV
(39.49324039, -117.071840564)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
WI,Wisconsin,2007,Cessation Interventions,Total (Millions),Recommended,20.3,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
SD,South Dakota,2007,State and Community Interventions,Total (Millions),Lower,4.8,$,"SD
(44.353130053, -100.373530637)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
DE,Delaware,2007,State and Community Interventions,Total (Millions),Recommended,5.6,$,"DE
(39.008830667, -75.577741168)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
ND,North Dakota,2007,Cessation Interventions,Total (Millions),Recommended,2.2,$,"ND
(47.475319779, -100.118421049)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
IN,Indiana,2007,Health Communication Interventions,Per Capita,Recommended,1.83,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
ND,North Dakota,2007,Total Recommended Program Costs,Total (Millions),Recommended,9.3,$,"ND
(47.475319779, -100.118421049)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
PA,Pennsylvania,2007,Cessation Interventions,Per Capita,Recommended,3.8,$,"PA
(40.793730152, -77.860700294)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
IL,Illinois,2007,Cessation Interventions,Per Capita,Lower,2.07,$,"IL
(40.485010283, -88.997710178)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
ME,Maine,2007,Health Communication Interventions,Per Capita,Recommended,2.41,$,"ME
(45.254228894001, -68.985031336)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
CA,California,2007,State and Community Interventions,Total (Millions),Lower,137.8,$,"CA
(37.638640123, -120.999999538)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
IL,Illinois,2007,Surveillance and Evaluation,Total (Millions),Lower,9.3,$,"IL
(40.485010283, -88.997710178)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
ID,Idaho,2007,Surveillance and Evaluation,Total (Millions),Lower,1.2,$,"ID
(43.682630005, -114.363730042)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
HI,Hawaii,2007,Administration and Management,Total (Millions),Recommended,0.7,$,"HI
(21.304850435, -157.857749403)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
TX,Texas,2007,State and Community Interventions,Total (Millions),Recommended,114.1,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
AK,Alaska,2007,Cessation Interventions,Per Capita,Upper,6.13,$,"AK
(64.845079957001, -147.722059036)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
KS,Kansas,2007,State and Community Interventions,Total (Millions),Recommended,14.7,$,"KS
(38.3477403, -98.200781227)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
HI,Hawaii,2007,Health Communication Interventions,Per Capita,Recommended,1.46,$,"HI
(21.304850435, -157.857749403)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
ID,Idaho,2007,Health Communication Interventions,Total (Millions),Recommended,2.4,$,"ID
(43.682630005, -114.363730042)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
GA,Georgia,2007,Health Communication Interventions,Per Capita,Recommended,2.62,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
VT,Vermont,2007,Administration and Management,Per Capita,Upper,0.99,$,"VT
(43.625381239, -72.517640791)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
UT,Utah,2007,Surveillance and Evaluation,Per Capita,Upper,1.43,$,"UT
(39.360700171, -111.587130635)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
IA,Iowa,2007,Health Communication Interventions,Per Capita,Recommended,1.6,$,"IA
(42.469400913, -93.816490556)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
MI,Michigan,2007,Cessation Interventions,Per Capita,Upper,5.76,$,"MI
(44.661319543001, -84.71439027)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
DE,Delaware,2007,Cessation Interventions,Total (Millions),Lower,1.9,$,"DE
(39.008830667, -75.577741168)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
NM,New Mexico,2007,Total Recommended Program Costs,Total (Millions),Recommended,23.4,$,"NM
(34.520880952, -106.240580985)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
CO,Colorado,2007,Cessation Interventions,Per Capita,Lower,1.95,$,"CO
(38.843840757, -106.133610921)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
ME,Maine,2007,Surveillance and Evaluation,Per Capita,Lower,0.85,$,"ME
(45.254228894001, -68.985031336)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
AR,Arkansas,2007,Surveillance and Evaluation,Per Capita,Upper,1.73,$,"AR
(34.748650124, -92.274490743)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
ND,North Dakota,2007,Total Recommended Program Costs,Total (Millions),Upper,14.5,$,"ND
(47.475319779, -100.118421049)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
AK,Alaska,2007,State and Community Interventions,Per Capita,Lower,6.69,$,"AK
(64.845079957001, -147.722059036)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
FL,Florida,2007,State and Community Interventions,Total (Millions),Upper,114,$,"FL
(28.932040377, -81.928960539)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
MO,Missouri,2007,Health Communication Interventions,Per Capita,Lower,1.3,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
FL,Florida,2007,Health Communication Interventions,Total (Millions),Upper,70.6,$,"FL
(28.932040377, -81.928960539)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
FL,Florida,2007,Surveillance and Evaluation,Per Capita,Upper,1.6,$,"FL
(28.932040377, -81.928960539)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
WA,Washington,2007,Total Recommended Program Costs,Total (Millions),Upper,111.8,$,"WA
(47.522278629, -120.47001079)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
AZ,Arizona,2007,Cessation Interventions,Per Capita,Lower,1.92,$,"AZ
(34.86597028, -111.763811277)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
MO,Missouri,2007,Cessation Interventions,Per Capita,Recommended,3.95,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
IN,Indiana,2007,Health Communication Interventions,Total (Millions),Recommended,11.6,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
US,United States,2007,Total Recommended Program Costs,Total (Millions),Lower,2524,$,,Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
FL,Florida,2007,Surveillance and Evaluation,Total (Millions),Lower,13,$,"FL
(28.932040377, -81.928960539)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
NJ,New Jersey,2007,Total Recommended Program Costs,Total (Millions),Lower,72.1,$,"NJ
(40.130570048, -74.273691288)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
PA,Pennsylvania,2007,Health Communication Interventions,Per Capita,Lower,1.3,$,"PA
(40.793730152, -77.860700294)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
NJ,New Jersey,2007,Total Recommended Program Costs,Per Capita,Upper,17.7,$,"NJ
(40.130570048, -74.273691288)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
MT,Montana,2007,Administration and Management,Per Capita,Upper,0.91,$,"MT
(47.066528972, -109.424420645)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
MD,Maryland,2007,Total Recommended Program Costs,Total (Millions),Upper,99.8,$,"MD
(39.290580964, -76.609260111)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
MN,Minnesota,2007,Health Communication Interventions,Total (Millions),Lower,6.7,$,"MN
(46.355648736, -94.794200503)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
NM,New Mexico,2007,Cessation Interventions,Per Capita,Recommended,3.51,$,"NM
(34.520880952, -106.240580985)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
PA,Pennsylvania,2007,State and Community Interventions,Total (Millions),Lower,46.7,$,"PA
(40.793730152, -77.860700294)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
MT,Montana,2007,Surveillance and Evaluation,Total (Millions),Recommended,1.2,$,"MT
(47.066528972, -109.424420645)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
IA,Iowa,2007,Health Communication Interventions,Total (Millions),Upper,11.6,$,"IA
(42.469400913, -93.816490556)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
HI,Hawaii,2007,Surveillance and Evaluation,Total (Millions),Upper,2.2,$,"HI
(21.304850435, -157.857749403)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MS,Mississippi,2007,Cessation Interventions,Total (Millions),Upper,18.9,$,"MS
(32.745510099, -89.538030825)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
DC,District of Columbia,2007,Health Communication Interventions,Total (Millions),Upper,2.3,$,"DC
(38.890371385, -77.031961127)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
AK,Alaska,2007,Health Communication Interventions,Total (Millions),Upper,2.6,$,"AK
(64.845079957001, -147.722059036)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
WA,Washington,2007,Surveillance and Evaluation,Total (Millions),Recommended,5.9,$,"WA
(47.522278629, -120.47001079)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
NH,New Hampshire,2007,Cessation Interventions,Total (Millions),Lower,2.7,$,"NH
(43.655950113, -71.50036092)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
MO,Missouri,2007,Total Recommended Program Costs,Total (Millions),Lower,50.5,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
